YEAR,COUNTY,NUMBER_OF_ED_VISITS,AGE_ADJUSTED_ED_VISIT_RATE,AGE
2013,Alameda,6653,55.50652173913044,adult
2013,Alameda,3213,100.31794871794872,child
2013,Amador,195,78.23333333333333,adult
2013,Amador,12,64.4,child
2013,Butte,648,46.1,adult
2013,Butte,258,61.0,child
2013,Calaveras,90,89.25,adult
2013,Calaveras,27,84.5,child
2013,Colusa,22,42.6,adult
2013,Colusa,32,75.45,child
2013,Contra Costa,4644,48.69444444444444,adult
2013,Contra Costa,2218,82.31724137931033,child
2013,Del Norte,84,43.4,adult
2013,Del Norte,42,84.0,child
2013,El Dorado,332,48.58571428571429,adult
2013,El Dorado,92,30.85,child
2013,Fresno,3312,55.60277777777778,adult
2013,Fresno,3675,131.7264705882353,child
2013,Glenn,78,48.5,adult
2013,Glenn,17,37.1,child
2013,Humboldt,597,70.55,adult
2013,Humboldt,133,67.8,child
2013,Imperial,541,49.81428571428571,adult
2013,Imperial,646,141.0,child
2013,Inyo,33,34.3,adult
2013,Inyo,21,73.9,child
2013,Kern,2709,48.0875,adult
2013,Kern,2278,87.83181818181818,child
2013,Kings,808,80.36,adult
2013,Kings,515,109.525,child
2013,Lake,294,88.04285714285713,adult
2013,Lake,60,95.05,child
2013,Lassen,50,25.6,adult
2013,Lassen,26,68.4,child
2013,Los Angeles,29171,38.73875968992248,adult
2013,Los Angeles,20013,81.11359649122808,child
2013,Madera,307,31.15,adult
2013,Madera,471,107.475,child
2013,Marin,447,25.527272727272727,adult
2013,Marin,139,41.699999999999996,child
2013,Mariposa,38,55.4,adult
2013,Mariposa,12,62.5,child
2013,Mendocino,294,60.975,adult
2013,Mendocino,85,69.43333333333334,child
2013,Merced,1190,69.83636363636364,adult
2013,Merced,905,112.96363636363638,child
2013,Modoc,26,70.0,adult
2013,Mono,28,36.4,adult
2013,Monterey,1017,36.34285714285714,adult
2013,Monterey,947,84.93846153846154,child
2013,Napa,365,36.7,adult
2013,Napa,142,55.86666666666667,child
2013,Nevada,250,36.08,adult
2013,Nevada,31,69.8,child
2013,Orange,5799,24.567948717948717,adult
2013,Orange,3813,51.71,child
2013,Placer,786,29.299999999999997,adult
2013,Placer,273,43.885714285714286,child
2013,Plumas,40,52.599999999999994,adult
2013,Riverside,5440,35.162295081967216,adult
2013,Riverside,3690,63.67777777777778,child
2013,Sacramento,6414,62.23863636363637,adult
2013,Sacramento,2951,86.82162162162163,child
2013,San Benito,163,46.8,adult
2013,San Benito,104,73.0,child
2013,San Bernardino,7275,57.374545454545455,adult
2013,San Bernardino,5067,86.88723404255319,child
2013,San Diego,6715,28.53783783783784,adult
2013,San Diego,4690,64.84,child
2013,San Francisco,2204,37.47727272727273,adult
2013,San Francisco,770,69.0611111111111,child
2013,San Joaquin,2958,64.14583333333333,adult
2013,San Joaquin,1658,83.54545454545455,child
2013,San Luis Obispo,450,29.481818181818184,adult
2013,San Luis Obispo,179,53.17142857142857,child
2013,San Mateo,1768,31.85,adult
2013,San Mateo,737,50.73529411764706,child
2013,Santa Barbara,827,27.675,adult
2013,Santa Barbara,606,74.53636363636363,child
2013,Santa Clara,3653,26.791666666666668,adult
2013,Santa Clara,1696,40.880487804878044,child
2013,Santa Cruz,582,29.88181818181818,adult
2013,Santa Cruz,328,88.075,child
2013,Shasta,544,41.93333333333333,adult
2013,Shasta,253,72.16666666666667,child
2013,Siskiyou,106,49.825,adult
2013,Siskiyou,17,76.6,child
2013,Solano,2167,68.42727272727272,adult
2013,Solano,955,101.47,child
2013,Sonoma,1324,36.51764705882353,adult
2013,Sonoma,510,53.96666666666667,child
2013,Stanislaus,1908,46.28947368421053,adult
2013,Stanislaus,1128,77.0611111111111,child
2013,Sutter,195,29.433333333333334,adult
2013,Sutter,58,26.65,child
2013,Tehama,210,59.65,adult
2013,Tehama,70,57.599999999999994,child
2013,Trinity,18,67.7,adult
2013,Tulare,1182,41.55625,adult
2013,Tulare,1003,75.53333333333333,child
2013,Tuolumne,154,43.63333333333333,adult
2013,Tuolumne,35,76.5,child
