,county,age_group,risk_score
0,Alameda,child,46.980098028489536
1,Butte,child,37.26690048741217
2,Contra Costa,child,45.011059196497506
3,Fresno,child,81.59128571543661
4,Imperial,child,119.4867546494289
5,Kern,child,52.91237587163786
6,Kings,child,57.85801254242586
7,Los Angeles,child,26.112191329824434
8,Madera,child,35.265137691208615
9,Marin,child,28.769693107052806
10,Merced,child,50.64485710305408
11,Monterey,child,63.24597870355214
12,Orange,child,-10.50786842326356
13,Placer,child,35.539574580912486
14,Riverside,child,47.792928167509224
15,Sacramento,child,66.27508509627442
16,San Bernardino,child,49.55232829475434
17,San Francisco,child,50.32154398569975
18,San Joaquin,child,55.666721172906094
19,San Luis Obispo,child,48.006766044786886
20,San Mateo,child,21.801219206858683
21,Santa Barbara,child,26.285851662550492
22,Solano,child,122.46674666739315
23,Sonoma,child,39.66108420160802
24,Stanislaus,child,64.36125448672945
25,Sutter,child,29.017157357179766
26,Tulare,child,14.240244338907317
27,Ventura,child,25.314619389334112
28,Yolo,child,59.24557834546174
29,Alameda,adult,31.22423705944993
30,Butte,adult,17.174942853087583
31,Contra Costa,adult,29.995333389545493
32,Fresno,adult,59.60941741901105
33,Imperial,adult,65.61001557166112
34,Kern,adult,35.13501673113974
35,Kings,adult,37.93978850389068
36,Los Angeles,adult,12.186919243154442
37,Madera,adult,31.56758035297084
38,Marin,adult,8.352521459095872
39,Merced,adult,42.09332716412394
40,Monterey,adult,29.907880743030073
41,Orange,adult,-11.393642649210577
42,Placer,adult,9.436980815022899
43,Riverside,adult,23.014698418222885
44,Sacramento,adult,38.71266253959449
45,San Bernardino,adult,26.71907468562099
46,San Francisco,adult,30.3977393860473
47,San Joaquin,adult,37.30832956705248
48,San Luis Obispo,adult,19.861331500082304
49,San Mateo,adult,7.688457022991148
50,Santa Barbara,adult,10.64153687917895
51,Solano,adult,76.58832896189577
52,Sonoma,adult,17.502876749107603
53,Stanislaus,adult,37.11939444129441
54,Sutter,adult,8.612066820292508
55,Tulare,adult,9.277408140496007
56,Ventura,adult,6.323284114237772
57,Yolo,adult,24.75075068743923
