,year,County Name,county,city,particle,measurement,days_recorded,avg_val,variance,min_val,percentile_10,percentile_25,percentile_75,percentile_90,max_val
0,2023,Alameda,Alameda,Oakland,Carbon monoxide,Parts per million,365,0.40689763944924756,0.03566380847445995,-0.308333,0.213043,0.3,0.5,0.621739,1.7125
1,2023,Butte,Butte,Chico,Carbon monoxide,Parts per million,359,0.23667850069156296,0.011517756893527348,0.1,0.14612719999999998,0.1667975,0.2611135,0.40553900000000015,0.708333
2,2023,Contra Costa,Contra Costa,Concord,Carbon monoxide,Parts per million,365,0.285604511821975,0.018731189517136797,-0.4,0.113043,0.2,0.365217,0.4508696000000002,0.855556
3,2023,Fresno,Fresno,Fresno,Carbon monoxide,Parts per million,365,0.31990408808290155,0.02361060837462137,0.04855,0.1781638,0.2,0.3875,0.5409737999999998,1.049
4,2023,Humboldt,Humboldt,Eureka,Carbon monoxide,Parts per million,95,0.2336635894736842,0.008227041266624224,0.1,0.10470249999999999,0.15937475,0.3,0.3627717,0.4625
5,2023,Imperial,Imperial,Calexico,Carbon monoxide,Parts per million,213,0.25522519294117646,0.022044142975335308,0.1,0.145833,0.175,0.280696,0.416667,1.3625
6,2023,Inyo,Inyo,Not in a city,Carbon monoxide,Parts per million,343,0.10583432116788322,0.0003042332494610273,0.033333,0.0948784,0.1,0.113261,0.1245778,0.266913
7,2023,Kern,Kern,Bakersfield,Carbon monoxide,Parts per million,359,0.24856378551532032,0.007780278366154763,0.1,0.1665974,0.1971735,0.283333,0.383333,0.629167
8,2023,Los Angeles,Los Angeles,Glendora,Carbon monoxide,Parts per million,365,0.317285499605367,0.030004873583468518,-0.1,0.158333,0.2,0.382362,0.5472580000000009,1.516667
9,2023,Marin,Marin,San Rafael,Carbon monoxide,Parts per million,363,0.3131907217630854,0.009780444277591433,0.147826,0.2,0.23115950000000002,0.379167,0.452174,0.629167
10,2023,Monterey,Monterey,Salinas,Carbon monoxide,Parts per million,361,0.2358448407202216,0.0038044456749829108,0.1,0.1783516,0.2,0.275,0.329167,0.4375
11,2023,Orange,Orange,Anaheim,Carbon monoxide,Parts per million,365,0.34789510056390976,0.048456097884482734,0.004167,0.1,0.158333,0.475,0.6304167999999999,1.555
12,2023,Riverside,Riverside,Palm Springs,Carbon monoxide,Parts per million,365,0.2574252653352354,0.014056429936898766,0.0125,0.1375,0.183333,0.295833,0.4115,0.866667
13,2023,Sacramento,Sacramento,Sacramento,Carbon monoxide,Parts per million,74,0.47164008783783784,0.02486195806793101,0.166667,0.2807707,0.333333,0.58418725,0.6875,0.894444
14,2023,San Bernardino,San Bernardino,Ontario,Carbon monoxide,Parts per million,365,0.2758571449829932,0.017354466943360937,-0.029167,0.108333,0.183333,0.370833,0.45,0.716667
